
2024/08/15 (10:09:15) | ===> btop++ v.1.3.2
2024/08/15 (10:09:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/15 (10:43:03) | ===> btop++ v.1.3.2
2024/08/15 (10:43:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/18 (22:29:49) | ===> btop++ v.1.3.2
2024/08/18 (22:29:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/24 (01:15:29) | ===> btop++ v.1.3.2
2024/08/24 (01:15:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/31 (19:51:32) | ===> btop++ v.1.4.0
2024/10/31 (19:51:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/31 (23:53:14) | ERROR: Stall in Runner thread, restarting!
